time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1703839515260600800,1.174600830078125,0,0,3.674222707748413,7.241000175476074,0.0014312273124232888,0,824.9000244140625,12.3893251,47.4432872
1703839516265864000,2.179864013671875,0,0,3.4621808528900146,7.25,0.0036996440030634403,0,824.9000244140625,12.3893265,47.4432865
1703839517279359200,3.193359130859375,0,0,3.319931745529175,7.303999900817871,0.005291523411870003,0,824.9000244140625,12.3893278,47.4432857
1703839518283469600,4.197469482421875,0,0,3.495041847229004,7.335000038146973,0.006168246269226074,0,824.9000244140625,12.3893291,47.4432848
1703839519261921000,5.175921142578125,0,0,3.7267489433288574,7.36299991607666,0.00690686609596014,0,824.7000122070312,12.3893305,47.4432838
1703839520266572000,6.180572021484375,0,0,3.2809557914733887,7.1620001792907715,0.013424721546471119,0,824.7000122070312,12.3893322,47.44328
1703839521284009200,7.19800927734375,0,0,3.914889097213745,6.815999984741211,0.014487748965620995,0,825.5,12.389334,47.4432761
1703839522279961600,8.193961669921874,0,0,3.873427152633667,6.3420000076293945,0.013850524090230465,0,825.5,12.3893359,47.4432733
1703839523270862800,9.18486279296875,0,0,3.592074394226074,6.052000045776367,0.012575307860970497,0,825.5,12.3893375,47.4432715
1703839524265205200,10.179205322265625,0,0,3.713942527770996,5.140999794006348,0.010698353871703148,0,825.5,12.3893386,47.4432704
1703839525263108000,11.177108154296874,0,0,3.6018166542053223,4.973999977111816,0.009776578284800053,0,825.5,12.3893397,47.4432693
1703839526261501400,12.17550146484375,0,0,4.077558517456055,4.603000164031982,0.008251759223639965,0,825.5,12.3893405,47.4432685
1703839527269565400,13.1835654296875,0,0,5.0551347732543945,4.340000152587891,0.006769602652639151,0,825.5,12.3893411,47.4432675
1703839527914267000,13.828266845703125,0,0,5.0551347732543945,4.214000225067139,0.007943441160023212,0,825.5,12.389342,47.4432671
1703839529114855000,15.02885498046875,0,0,5.203211307525635,4.186999797821045,0.007641233503818512,0,825.5,12.3893429,47.4432667
1703839530215183000,16.12918310546875,0,0,3.732983112335205,4.224999904632568,0.003362077521160245,0,824.9000244140625,12.3893414,47.4432652
1703839531215653000,17.129653076171873,0,0.539906919002533,3.7439324855804443,4.420000076293945,0.003825085237622261,0,824.9000244140625,12.3893327,47.4432607
1703839532215219000,18.129218994140626,0,0.5617190003395081,3.383497476577759,4.65500020980835,0.0021183073986321688,0,824.9000244140625,12.389328,47.4432581
1703839533215234000,19.129234130859373,0,0.5991718173027039,3.112212896347046,5.034999847412109,0.0018293906468898058,0,824.9000244140625,12.3893245,47.4432559
1703839534215235000,20.129235107421874,0,0.481501966714859,3.251426935195923,5.263000011444092,0.001514915144070983,0,824.9000244140625,12.389321,47.4432533
1703839535215272000,21.12927197265625,44.18060302734375,0.49292266368865967,3.405024528503418,5.486999988555908,0.2845572233200073,26.142484664916992,824.7000122070312,12.3893141,47.4432478
1703839535912000000,21.826,0,0,3.186039924621582,10.711000442504883,0.28427791595458984,26.149616241455078,824.7000122070312,12.3893151,47.4432492
1703839536642844000,22.556843994140625,0,0,3.6726033687591553,11.119999885559082,0.5158975124359131,112.28569030761719,825.5,12.3893168,47.4432488
1703839537215269000,23.12926904296875,0,0,3.5195703506469727,11.581000328063965,0.9403271675109863,150.22119140625,827.7000122070312,12.3893168,47.4432444
1703839538215311000,24.12931103515625,0,0,3.5188684463500977,12.090999603271484,1.8986419439315796,186.69329833984375,827.7000122070312,12.3892682,47.4431788
1703839539215338000,25.129337890625,0,0,3.5151546001434326,12.942999839782715,2.957329511642456,199.73849487304688,827.7000122070312,12.3892164,47.4431167
1703839540215317000,26.12931689453125,10,0.29546913504600525,3.4499149322509766,12.779000282287598,4.653088569641113,216.83108520507812,829.8199053229962,12.3890542,47.4429578
1703839541215404000,27.129404052734376,10,0.2892862856388092,4.112797737121582,7.414000034332275,4.436788082122803,217.99403381347656,831.18014836711,12.3889704,47.4428825
1703839542215384000,28.129384033203124,10,0.28760838508605957,4.193183422088623,6.638000011444092,4.352051258087158,216.03936767578125,832.5061796091471,12.3889147,47.4428299
1703839543215375000,29.129375,10,0.280560165643692,3.717759609222412,5.861000061035156,4.461040019989014,215.0128631591797,834.1826321414102,12.3888734,47.4427869
1703839544215405000,30.129405029296876,10,0.27412688732147217,4.884657859802246,4.650000095367432,4.477237224578857,215.00010681152344,835.6857840637548,12.3888351,47.4427489
1703839545215758000,31.129758056640625,10,0.2616773247718811,4.908546447753906,4.63700008392334,4.378115177154541,213.04080200195312,837.4912077094092,12.3887996,47.4427147
1703839546215433000,32.12943286132813,10,0.2743760645389557,5.125247001647949,4.63700008392334,4.503212928771973,212.99472045898438,838.9406238559794,12.3887627,47.4426792
1703839547215411000,33.12941088867188,10,0.25182971358299255,4.212996482849121,4.614999771118164,4.766531944274902,214.9483642578125,840.013303294282,12.3887312,47.4426444
1703839548215425000,34.129425048828125,10,0.26840096712112427,4.164926528930664,4.614999771118164,4.737321376800537,214.0200653076172,840.467539931238,12.3886948,47.4426074
1703839549215440000,35.12943994140625,10,0.2635752856731415,3.7471694946289062,4.614999771118164,4.716196537017822,214.00111389160156,840.6948865563116,12.3886616,47.4425741
1703839550215464000,36.1294638671875,10,0.25571408867836,3.7686941623687744,4.61899995803833,4.568970680236816,214.00735473632812,840.9027834432442,12.3886303,47.4425418
1703839551215479000,37.12947900390625,10,0.2650322914123535,3.810314655303955,4.614999771118164,4.596058368682861,214.98001098632812,841.2163060649658,12.3885994,47.4425104
1703839552215505000,38.1295048828125,10,0.2628478705883026,3.545501708984375,4.63700008392334,4.656581401824951,215.97897338867188,841.5320640039712,12.3885642,47.4424789
1703839553215513000,39.12951318359375,10,0.2600056231021881,3.6967060565948486,4.63700008392334,4.700199604034424,216.9799346923828,841.8849824202962,12.388527,47.442446
1703839554215554000,40.12955395507812,10,0.27480244636535645,3.7911036014556885,4.63700008392334,4.6930975914001465,217.0001220703125,842.1535109224803,12.388489,47.4424126
