time,seconds_elapsed,z,y,x
1703590069592888000,0.11888818359375,9.237886428833008,3.298197031021118,0.13951529562473297
1703590069665634600,0.191634521484375,9.251577377319336,3.261096954345703,0.0983232706785202
1703590069738371000,0.26437109375,9.245420455932617,3.2781169414520264,0.11075051128864288
1703590069811107800,0.33710791015625,9.261392593383789,3.2332265377044678,0.09461759775876999
1703590069883844900,0.409844970703125,9.262909889221191,3.22871732711792,0.09997657686471939
1703590069956581400,0.482581298828125,9.270617485046387,3.205876350402832,0.11878809332847595
1703590070029318100,0.555318115234375,9.296804428100586,3.1295218467712402,0.10779254883527756
1703590070102054700,0.6280546875,9.296196937561035,3.1303186416625977,0.1339249312877655
1703590070174791700,0.700791748046875,9.309784889221191,3.0893542766571045,0.1411067694425583
1703590070247528700,0.77352880859375,9.307948112487793,3.095165967941284,0.13474968075752258
1703590070320265200,0.84626513671875,9.309586524963379,3.0902557373046875,0.1342766284942627
1703590070393002000,0.919001953125,9.311051368713379,3.0863289833068848,0.12244274467229843
1703590070465738800,0.99173876953125,9.31374454498291,3.078187942504883,0.12263146787881851
1703590070538475500,1.0644755859375,9.313719749450684,3.0786490440368652,0.1125086173415184
1703590070611212300,1.13721240234375,9.313692092895508,3.0790724754333496,0.10284127295017242
1703590070683936000,1.20993603515625,9.315813064575195,3.0728836059570312,0.09550666809082031
1703590070756685800,1.282685791015625,9.30840015411377,3.0934154987335205,0.1434400975704193
1703590070829422300,1.35542236328125,9.293977737426758,3.129286050796509,0.25623247027397156
1703590070902162200,1.428162109375,9.136785507202148,3.5578126907348633,-0.3118029236793518
1703590070993080300,1.519080322265625,9.080041885375977,3.5834920406341553,-0.973413348197937
1703590071065817600,1.591817626953125,9.003422737121582,3.7970144748687744,-0.8701468706130981
1703590071138554000,1.66455419921875,9.049517631530762,3.6540331840515137,-0.9951768517494202
1703590071211291000,1.737290771484375,9.094840049743652,3.548321008682251,-0.9640569686889648
1703590071284027600,1.810027587890625,9.139691352844238,3.3738155364990234,-1.1487025022506714
1703590071356764400,1.882764404296875,9.149454116821289,3.258603811264038,-1.3802578449249268
1703590071429501400,1.95550146484375,9.168044090270996,3.172947883605957,-1.4544692039489746
1703590071502238200,2.02823828125,9.229068756103516,3.0543107986450195,-1.3158924579620361
1703590071574975500,2.1009755859375,9.274201393127441,2.766179323196411,-1.6042290925979614
1703590071647712000,2.1737119140625,9.37890911102295,2.1927123069763184,-1.861231803894043
1703590071720449000,2.246448974609375,9.402970314025879,1.7834875583648682,-2.1539313793182373
1703590071793186000,2.31918603515625,9.299886703491211,1.5567495822906494,-2.7064247131347656
1703590071865923300,2.39192333984375,9.287003517150879,1.1628247499465942,-2.9386229515075684
1703590071938659800,2.464659912109375,9.387228012084961,0.800899088382721,-2.7339749336242676
1703590072011396900,2.53739697265625,9.481732368469238,1.1977229118347168,-2.2132155895233154
1703590072084134400,2.610134521484375,9.585081100463867,1.4881471395492554,-1.4655181169509888
1703590072156871000,2.682870849609375,9.64724349975586,1.387707233428955,-1.1140307188034058
1703590072229607700,2.755607666015625,9.654550552368164,1.492422342300415,-0.8935489058494568
1703590072302345000,2.828344970703125,9.678285598754883,1.4973554611206055,-0.5699182152748108
1703590072375080000,2.901079833984375,9.718005180358887,1.318781852722168,-0.23938070237636566
1703590072447819000,2.973819091796875,9.713247299194336,1.3437583446502686,-0.288526713848114
1703590072520555500,3.046555419921875,9.728243827819824,1.1423304080963135,-0.5407904982566833
1703590072593292800,3.119292724609375,9.766490936279297,0.6233667731285095,-0.6805621981620789
1703590072666030000,3.192030029296875,9.74940299987793,0.6202725172042847,-0.8947095274925232
1703590072738766800,3.264766845703125,9.74986743927002,0.9120951294898987,-0.5867541432380676
1703590072811503600,3.337503662109375,9.760374069213867,0.9455775022506714,-0.27764469385147095
1703590072884241200,3.4102412109375,9.767651557922363,0.8460575938224792,-0.33658650517463684
1703590072956978200,3.482978271484375,9.765868186950684,0.8911105990409851,-0.26430219411849976
1703590073029715200,3.555715087890625,9.7520751953125,1.0587458610534668,-0.11039777845144272
1703590073102452200,3.6284521484375,9.736284255981445,1.182687520980835,0.2052461951971054
1703590073175189000,3.70118896484375,9.782186508178711,0.7141048908233643,0.18706800043582916
1703590073247926300,3.77392626953125,9.761868476867676,-0.892265260219574,-0.3819698989391327
1703590073320663600,3.84666357421875,9.575804710388184,-2.1057002544403076,-0.32571426033973694
1703590073393400300,3.919400390625,9.622648239135742,-1.8127225637435913,0.5956433415412903
1703590073466137900,3.992137939453125,9.678766250610352,-1.3341693878173828,0.8817968964576721
1703590073538874600,4.06487451171875,9.735166549682617,-0.6017422676086426,1.0490700006484985
1703590073611611600,4.137611572265625,9.73460578918457,-0.29690518975257874,1.177032232284546
1703590073684349200,4.21034912109375,9.755261421203613,-0.4699464440345764,0.9220266342163086
1703590073757086200,4.283086181640625,9.767553329467773,-0.6882728338241577,0.5977327227592468
1703590073829823000,4.355822998046875,9.700460433959961,-1.3794218301773071,0.48412203788757324
1703590073902560500,4.428560546875,9.651464462280273,-1.7539929151535034,0.09412328898906708
1703590073975297500,4.501297607421875,9.687728881835938,-1.538569450378418,-0.1296977549791336
1703590074048034800,4.574034912109375,9.709372520446777,-1.3387335538864136,-0.41471046209335327
1703590074120771800,4.646771728515625,9.705974578857422,-0.6756696105003357,-1.2544450759887695
1703590074193508900,4.7195087890625,9.72152042388916,-0.15255948901176453,-1.305708646774292
1703590074266246100,4.79224609375,9.737227439880371,-0.4591163694858551,-1.1007832288742065
