time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1703590069611085300,0.137085205078125,-0.49020662903785706,-0.091647669672966,0.12546220421791077,0.8576465249061584,-0.03591718524694443,-0.3099983334541321,1.0328956842422485
1703590069683819000,0.209819091796875,-0.4898630678653717,-0.09115376323461533,0.12538829445838928,0.8579062223434448,-0.03523623198270798,-0.3093594014644623,1.032148838043213
1703590069756555300,0.28255517578125,-0.4901576042175293,-0.09067769348621368,0.1251804083585739,0.8578187227249146,-0.03448881208896637,-0.30852845311164856,1.0328855514526367
1703590069829292300,0.355292236328125,-0.4905188977718353,-0.08979872614145279,0.12385004013776779,0.8578977584838867,-0.03416091576218605,-0.30531883239746094,1.0335482358932495
1703590069902028800,0.42802880859375,-0.49066162109375,-0.08963363617658615,0.12319207936525345,0.8579280972480774,-0.03449543938040733,-0.3040003180503845,1.0337402820587158
1703590069974765800,0.500765869140625,-0.4909842014312744,-0.08940955996513367,0.12108080834150314,0.8580676317214966,-0.036164913326501846,-0.3000713884830475,1.0339837074279785
1703590070047502600,0.573502685546875,-0.4915224313735962,-0.0873086079955101,0.11885296553373337,0.8582872748374939,-0.03452245891094208,-0.294068306684494,1.0350620746612549
1703590070120239000,0.646239013671875,-0.4917171001434326,-0.08860481530427933,0.11727821081876755,0.8582594990730286,-0.03839753195643425,-0.29260480403900146,1.034886121749878
1703590070192975400,0.718975341796875,-0.4919416606426239,-0.08798824995756149,0.11646000295877457,0.8583057522773743,-0.03806282579898834,-0.290557861328125,1.0353227853775024
1703590070265712600,0.791712646484375,-0.49193108081817627,-0.08758941292762756,0.11624281108379364,0.8583818674087524,-0.037578631192445755,-0.2897757887840271,1.035313367843628
1703590070338449400,0.864449462890625,-0.491918683052063,-0.08727680146694183,0.11621296405792236,0.8584248423576355,-0.037055663764476776,-0.2894095182418823,1.0353316068649292
1703590070411186000,0.93718603515625,-0.49184271693229675,-0.08667052537202835,0.11642009764909744,0.8585017919540405,-0.03578590601682663,-0.289163202047348,1.0353107452392578
1703590070483921000,1.0099208984375,-0.49200958013534546,-0.08659068495035172,0.11616304516792297,0.8584490418434143,-0.03585115820169449,-0.288638174533844,1.0356565713882446
1703590070556659500,1.082659423828125,-0.4918939471244812,-0.08615212142467499,0.11623144894838333,0.8585501909255981,-0.035037826746702194,-0.2883142828941345,1.0354760885238647
1703590070629396200,1.155396240234375,-0.4917227327823639,-0.08607162535190582,0.11718486994504929,0.8585268259048462,-0.03396837040781975,-0.2899031937122345,1.0353271961212158
1703590070702134300,1.22813427734375,-0.49204421043395996,-0.08521660417318344,0.11620458960533142,0.8585611581802368,-0.03334471955895424,-0.28733572363853455,1.0359911918640137
1703590070774870000,1.3008701171875,-0.4901120960712433,-0.08848816901445389,0.11780762672424316,0.8591166734695435,-0.03820648416876793,-0.29334843158721924,1.0312221050262451
1703590070847607000,1.37360693359375,-0.49540460109710693,-0.09319642931222916,0.11880814284086227,0.8554375171661377,-0.04369736462831497,-0.300089567899704,1.043249249458313
1703590070920343300,1.44634326171875,-0.5055353045463562,-0.08009054511785507,0.15178486704826355,0.8455654382705688,0.01914730854332447,-0.3444353938102722,1.0810291767120361
1703590070993080300,1.519080322265625,-0.5389254093170166,-0.0629589632153511,0.16536663472652435,0.823559045791626,0.0793522298336029,-0.34717077016830444,1.1728260517120361
1703590071065817600,1.591817626953125,-0.5767140984535217,-0.08363878726959229,0.16865411400794983,0.7949599027633667,0.06615033000707626,-0.37322238087654114,1.2677175998687744
1703590071138554000,1.66455419921875,-0.6264604926109314,-0.08647004514932632,0.16171585023403168,0.7575739026069641,0.07661512494087219,-0.3611641824245453,1.3958889245986938
1703590071211291000,1.737290771484375,-0.6777223944664001,-0.09698484092950821,0.15071743726730347,0.7131413817405701,0.07037348300218582,-0.35375556349754333,1.5324604511260986
1703590071284027600,1.810027587890625,-0.7360405921936035,-0.09882253408432007,0.1439519226551056,0.6540307402610779,0.08778326213359833,-0.34030306339263916,1.7037451267242432
1703590071356764400,1.882764404296875,-0.7912502884864807,-0.10209441184997559,0.1419171392917633,0.5859686732292175,0.111305832862854,-0.33406126499176025,1.8855130672454834
1703590071429501400,1.95550146484375,-0.8346322774887085,-0.10932260006666183,0.1356043517589569,0.5225408673286438,0.11878875643014908,-0.33017224073410034,2.0426645278930664
1703590071502238200,2.02823828125,-0.8699275851249695,-0.11821676045656204,0.1194511130452156,0.46366187930107117,0.10370834171772003,-0.3219846785068512,2.1790709495544434
1703590071574975500,2.1009755859375,-0.900637686252594,-0.10818177461624146,0.11986791342496872,0.4034603238105774,0.13487286865711212,-0.29588764905929565,2.3193910121917725
1703590071647712000,2.1737119140625,-0.9315170645713806,-0.08645179122686386,0.11507507413625717,0.3340057134628296,0.16197679936885834,-0.24023832380771637,2.472623348236084
1703590071720449000,2.246448974609375,-0.953444242477417,-0.07163288444280624,0.11911281198263168,0.2676285207271576,0.1939130276441574,-0.2017170786857605,2.613969087600708
1703590071793186000,2.31918603515625,-0.9692633748054504,-0.0659894123673439,0.14115263521671295,0.1903943121433258,0.25547531247138977,-0.18268603086471558,2.777195930480957
1703590071865923300,2.39192333984375,-0.9820722341537476,-0.058901552110910416,0.14691396057605743,0.10237737745046616,0.28325799107551575,-0.1462937593460083,2.9547460079193115
1703590071938659800,2.464659912109375,-0.988572895526886,-0.04930911585688591,0.1332036703824997,0.05048825219273567,0.26301074028015137,-0.11117060482501984,3.0542569160461426
