time,seconds_elapsed,z,y,x
1703590069592888000,0.11888818359375,9.736993789672852,1.8083757162094116,-0.03170489892363548
1703590069665634600,0.191634521484375,9.792028427124023,1.683350682258606,0.08195417374372482
1703590069738371000,0.26437109375,9.373284339904785,1.8203397989273071,0.03409772366285324
1703590069811107800,0.33710791015625,9.678967475891113,1.679761528968811,0.12442677468061447
1703590069883844900,0.409844970703125,9.696913719177246,1.7258232831954956,0.0023928226437419653
1703590069956581400,0.482581298828125,9.476176261901855,1.6983058452606201,0.07357929646968842
1703590070029318100,0.555318115234375,9.864411354064941,1.5858432054519653,0.11246266216039658
1703590070102054700,0.6280546875,9.58325481414795,1.6187444925308228,0.06640082597732544
1703590070174791700,0.700791748046875,9.732806205749512,1.5619150400161743,0.10169496387243271
1703590070247528700,0.77352880859375,9.553942680358887,1.5804593563079834,0.1178465187549591
1703590070320265200,0.84626513671875,9.629914283752441,1.566102385520935,0.09451649338006973
1703590070393002000,0.919001953125,9.69930648803711,1.5445669889450073,0.07058826833963394
1703590070465738800,0.99173876953125,9.603593826293945,1.5415760278701782,0.13878370821475983
1703590070538475500,1.0644755859375,9.616754531860352,1.5876377820968628,0.037088751792907715
1703590070611212300,1.13721240234375,9.719047546386719,1.561316728591919,0.12622138857841492
1703590070683936000,1.20993603515625,9.598209381103516,1.689931035041809,0.13579268753528595
1703590070756685800,1.282685791015625,9.964311599731445,1.5343974828720093,0.11066804826259613
1703590070829422300,1.35542236328125,9.848857879638672,2.0823538303375244,1.430907964706421
1703590070902162200,1.428162109375,10.15872859954834,2.788236618041992,0.597607433795929
1703590070993080300,1.519080322265625,8.839086532592773,0.28893333673477173,0.5653043389320374
1703590071047633200,1.573633056640625,8.935996055603027,0.5647061467170715,0.916451096534729
1703590071120370000,1.646369873046875,9.4121675491333,0.4905286431312561,0.6909275650978088
1703590071193106700,1.719106689453125,11.189436912536621,0.48454657196998596,1.9184455871582031
1703590071265843700,1.79184375,9.978070259094238,-0.23330020904541016,0.589830756187439
